#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
SBFA4, 07344400,33,37,39,41,ft,Sprinbank Ferry,AR
RYEA4, 07363500,24,26,29,30,ft,Rye,AR
RVSA4, 07072000,12,15,16,20,ft,Ravenden Springs,AR
RIGA4, 07046600,8,11,14,15,ft,Rivervale,AR
RDTA4, 07359002,15,nan,nan,nan,ft,Remmel Dam above Jones Mill,AR
PTTA4, NONE,8,9,11,12,ft,Patterson,AR
POCA4, 07069000,16,17,22,25,ft,Pocahontas,AR
PNGA4, 0704800,nan,nan,nan,nan,ft,Parkin,AR
PLGA4, 07047950,22,25,29,31,ft,Palestine,AR
PFAA4, 07265280,30,31,32,33,ft,Pendleton,AR
PBFA4, 07263650,40,42,44,45,ft,Pine Bluff,AR
NPTA4, 07074500,21.5,26,28,30,ft,Newport,AR
MSNA4, 07047907,29,32,35,36,ft,Madison,AR
MORA4, 07260800,29,30,34,38,ft,Morrilton,AR
MLBA4, 07252000,10,18,20,22,ft,Mulberry,AR
MEMT1, 07032000,28,34,40,46,ft,Memphis,TN
LITA4, 07263500,18,23,25,27,ft,Little Rock,AR
LCRA4, 07040450,8,10,12,15,ft,Lake City,AR
LCKA4, 07341200,16.5,17,20,23,ft,Lockesburg,AR
LCAL1, 07364840,187.75,188,189,191,ft,Lake Claiborne,LA
JUDA4, 07076634,29,30,33,36,ft,Judsonia,AR
INGA4, 07337000,19.5,25,26,28,ft,Index,AR
IMBA4, 07069500,13,18,23,26,ft,Imboden,AR
HUSA4, 07263115,24.5,25,32,35,ft,Houston,AR
HRGA4, 07340000,20.5,27,28.5,30,ft,Horatio,AR
HJFA4, 07249400,nan,nan,nan,nan,ft,Hackett,AR
HISM7, 07040130,nan,nan,nan,nan,ft,Holly Island,MO
HDYA4, 07069305,8,10,14,16,ft,Hardy,AR
GRVA4, 07261500,20,24,28,30,ft,Gravelly,AR
GEOA4, 07076750,20.5,21,24,28,ft,Georgetown,AR
FYGA4, 07048600,nan,nan,nan,nan,ft,Fayetteville,AR
FLTA4, 07341500,25,27,30,32.5,ft,Fulton,AR
FELA4, 07364080,70,70,81,83,ft,Felsenthal Lock and Dam,AR
EPGM7, 07071500,8,nan,nan,nan,ft,Bardley,MO
EGPA4, 07077380,nan,nan,nan,nan,ft,Egypt,AR
EAGO2, 07339000,10.5,11,12,14,ft,Eagletown,OK
DQNA4, 07339500,23.5,24,25,26,ft,DeQueen,AR
DIRA4, 07341000,14.5,15,18,21,ft,Dierks,AR
DEQA4, 07340500,14.5,15,18,21,ft,DeQueen,AR
DARA4, 07258000,32,32,36,40,ft,Dardanelle,AR
DANA4, 07260500,20,20,24,26,ft,Danville,AR
CRGA4, 07064000,12,15,15.5,16,ft,Corning,AR
COTA4, 07047942,nan,nan,nan,nan,ft,Colt,AR
CLRA4, 07060500,16,19,25,30,ft,Calico Rock,AR
CAMA4, 07362000,25.5,26,36,40,ft,Camden,AR
CALA4, 07362400,78.5,79,88,94,ft,Thatcher L&D,AR
BVGA4, 07049691,nan,1130,nan,nan,ft,Beaver Lake,AR
BTNA4, 07363000,17,18,24,26,ft,Benton,AR
BRYA4, 07050500,30,31,33,35,ft,Berryville,AR
BKRA4, 07072500,12,14,25,28,ft,Black Rock,AR
BHTA4, 07361600,19,20,23,25,ft,Boughton,AR
BBPA4, 07364185,nan,nan,nan,nan,ft,Portland,AR
BAGA4, 07061000,14,15,18,22,ft,Batesville,AR
AUGA4, 07074850,25.5,26,34,36,ft,Augusta,AR
ALLA4, 07060728,nan,nan,nan,nan,ft,ALLISON DCP,AR
AKDA4, 07360000,16,17,24,27,ft,Arkadelphia,AR
YREC1, 11517500,nan,nan,nan,nan,ft,Yreka,CA
YLOC1, 11452500,75,81,81.5,84.1,ft,Yolo,CA
YLEC1, 11176400,nan,nan,nan,nan,ft,Lang Canyon near Livermore,CA
YDRC1, 11046000,8.3,10.8,13.3,16.05,ft,Ysidora,CA
WWBC1, 10296000,5.5,6,6.5,7.3,ft,Coleville,CA
WVRN2, 10301700,nan,nan,nan,nan,ft,Weber Reservoir,NV
WSIN2, 10302002,7,7.5,8,8.5,ft,Schurz,NV
WOOC1, 10310000,13,14,14.5,15,ft,Woodfords,CA
WDSC1, 11465390,nan,nan,nan,nan,ft,Windsor,CA
WDKC1, 10336676,7.5,8,8.5,9,ft,Sunnyside,CA
WALN2, 10301500,9.8,10.3,11.2,11.7,ft,Wabuska,NV
WADN2, 10351650,11,13,14,16,ft,Wadsworth,NV
VRVC1, 11118500,15.9,17.6,19.1,20.1,ft,Foster Park,CA
VONC1, 11425500,nan,41.3,45,46,ft,Verona,CA
VNSC1, 11303500,24.5,29,32,37.3,ft,Vernalis,CA
VISN2, 10350000,13,15,18,21,ft,Vista,NV
UTRC1, 10336610,9.5,10.5,11.5,12.5,ft,South Lake Tahoe,CA
UTHC1, 103366092,8,8.5,9.5,10.5,ft,Meyers,CA
